rank	paper_id	star	repo_name
449	ISSTA-2022-18	6	cure-lab/HybridRepair
450	FSE-2018-27	6	yangzhangs/cd_replication
451	FSE-2018-46	6	XujieSi/fse18-artifact-183
452	FSE-2019-22	6	JunjieChen/DiWi
453	FSE-2019-28	6	maligulzar/BigTest
454	FSE-2019-41	6	SBULeeLab/LinguaFranca-FSE19
455	FSE-2019-63	6	kabinja/fse2019
456	FSE-2020-78	6	pangeneral/AsyncChecker
457	FSE-2021-65	6	ShangwenWang/Cognac
458	FSE-2021-70	6	PrivacyStreams/TaintStream
459	FSE-2021-94	6	devjeetr/Re-assessing-automatic-evaluation-metrics-for-source-code-summarization-tasks
460	FSE-2021-99	6	ethanluoyc/sympais
461	FSE-2022-20	6	VariantSync/DiffDetective
462	FSE-2022-22	6	Commit-Untangling/commit-untangling
463	FSE-2022-58	6	jacknichao/JIT-Fine
464	ICSE-2020-109	6	PPPI/POSIT
465	ICSE-2020-122	6	gzoumix/pdepa
466	ASE-2022-7	6	TechSumBot/TechSumBot
467	ASE-2022-16	6	imcsq/ASE22-MPPrioritize
468	ASE-2022-33	6	CGCL-codes/Amain
469	ASE-2022-46	6	IntelligentDDS/GIED
470	ASE-2022-82	6	toolstemp/IAcontract
471	ASE-2022-108	6	CGCL-codes/TreeCen
472	ICSE-2018-62	5	CMUSTRUDEL/npm-badges
473	ICSE-2019-24	5	zlfben/autotap
474	ICSE-2020-20	5	ananevans/icse2020
475	ICSE-2020-101	5	mpi-sv/mpi-sv-src
476	ICSE-2020-102	5	ucd-plse/FPGen
477	ICSE-2020-104	5	DehaiZhao/Seenomaly
478	ICSE-2021-77	5	ncoop57/tango
479	ICSE-2022-17	5	yh1105/Artifact-of-Assertion-ICSE22
480	ICSE-2022-23	5	awsm-research/AutoTransform-Replication
481	ICSE-2022-137	5	jhe16/PerfSig
482	ASE-2017-10	5	normative-team/normative
483	ASE-2017-33	5	gongbell/SimplyDroid
484	ASE-2018-6	5	sselab/autoconfig
485	ASE-2018-54	5	kaiyuanw/ARepair
486	ASE-2020-14	5	se2p/bastet
487	ASE-2020-48	5	COLA-Laboratory/ase2020
488	ASE-2020-79	5	sola-st/string-bugs
489	ASE-2021-12	5	rbavishi/vizsmith-demo
490	ASE-2021-25	5	ucd-plse/Static-Bug-Detectors-ASE-Artifact
491	ASE-2021-52	5	transaction-reverting-statements/Characterizing-require-statement-in-Ethereum-Smart-Contract
492	ASE-2021-62	5	ase-test-migration/test-migration
493	ASE-2021-73	5	cuhk-seclab/mdperffuzz
494	ISSTA-2017-22	5	sonalmahajan/xfix
495	ISSTA-2018-11	5	verml/VerifyML
496	ISSTA-2019-28	5	uds-se/droidmate-bandits
497	ISSTA-2020-1	5	yuqiChen94/Active_fuzzer
498	ISSTA-2020-19	5	vrthra/ddset
499	ISSTA-2021-2	5	webevoexp/webevo
500	ISSTA-2021-18	5	CGCL-codes/HomDroid
501	ISSTA-2022-47	5	wsong-nj/PermDroid
502	FSE-2017-26	5	se-passau/thor-avm
503	FSE-2018-4	5	umangm/ziptrack
504	FSE-2019-5	5	SNTSVV/SOCRaTEs
505	FSE-2019-43	5	ucd-plse/eesi
506	FSE-2020-122	5	af-static-toolchains/aliflow-micro-benchmark
507	FSE-2020-1	5	resess/ARDiff
